stt,match_ids,by,item_type,foody_item,catid,is_category_failed,name
41,11035567,relevancy,1,,100011,False,Áo Ba Lỗ Nam Tyasuo
42,11035567,relevancy,1,,100011,False,Áo Sơ Mi Nữ Form Rộng TRƠN Basic Unisex Dài Tay Trắng và Đen Kiểu áo sơ mi nữ Bigsize suông Leevin Store
43,11035567,relevancy,1,,100011,False,"Quần lót nam mềm mại co giãn, Sịp nam đùi Full size 35kg - 99kg Đồ lót tam giác chéo Nhiều màu Giao ngẫu nhiên"
44,11035567,relevancy,1,,100011,False,"Quần lót BOXER nam vải thun lụa Icy tự nhiên 100% thoáng khí,co giãn cao cấp - HAPPYHOW"
45,11035567,relevancy,1,,100011,False,"Áo thun nam cổ tròn in HappyHow vải Cotton co giãn,dày dặn, form regular fit"
46,11035567,relevancy,1,,100011,False,Quần sịp nam sịp đùi boxer chất vải cotton thấm hút vượt trội DAS01A
47,11035567,relevancy,1,,100011,False,Áo lót nam cổ tròn chất liệu cotton mềm mại thoáng khí thấm hút mồ hôi tốt hàng VIỆT TIẾN ACC25
48,11035567,relevancy,1,,100011,False,"Quần jean nam Baggy phom suông, rộng TR01 hottrend hàn quốc 2021"
49,11035567,relevancy,1,,100011,False,Mặt nạ Hacker Anonymous - Mặt nạ hóa trang Halloween dành cho nam và nữ
50,11035567,relevancy,1,,100011,False,Áo sơ mi nam FEAER chất lụa họa tiết lá đen Boo Boo
51,11035567,relevancy,1,,100011,False,"Quần lót BOXER nam vải thun lụa Icy tự nhiên 100% kháng khuẩn ,khử mùi, co giãn tốt - HAPPYHOW"
52,11035567,relevancy,1,,100011,False,Hộp 4 quần lót nam thông hơi - quần sịp nam tam giác đùi nhật bản - có size lớn MLQ01
53,11035567,relevancy,1,,100011,False,Quần Jogger Nam Kaki Túi Hộp Thiết Kế Lưng Thun Cao Cấp 4 Màu Đen Ghi Than Rêu
54,11035567,relevancy,1,,100011,False,Áo Polo nam Leo Vatino vải Cotton cá sấu cao cấp xuất xịn dệt bo dày dặn chuẩn form áo thun cổ bẻ tay ngắn - Galvin
55,11035567,relevancy,1,,100011,False,Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate
56,11035567,relevancy,1,,100011,False,"[Mã 154FASHIONSALE giảm 12% đơn 99K] Áo Thun Nam Cổ Tròn Cao Cấp ( nhiều màu) Tay Ngắn, chất cotton bề mặt vải mềm"
57,11035567,relevancy,1,,100011,False,"Quần kaki Nam Cao Cấp, Quần jogger kaki nam Chuẩn Hàng Xuất - QJKN01"
58,11035567,relevancy,1,,100011,False,"Áo thun POLO nam cổ bẻ BASIC CVC vải cá sấu Cotton kháng khuẩn, chống nhăn, thoáng mát - HAPPYHOW"
59,11035567,relevancy,1,,100011,False,Áo thun UNDER Hà Nội 36 Phố Phường - UTS002
60,11035567,relevancy,1,,100011,False,Quần Baggy Nam Nữ Kẻ Caro PLAID Ống Suông Unisex - Kiểu quần ống rộng suông vải Plaid kẻ caro Leevin Store
61,11035567,relevancy,1,,100011,False,Quần thể thao nam Ultra Short co dãn có túi khóa kéo thương hiệu Coolmate
62,11035567,relevancy,1,,100011,False,"Quần Lót Nam Tam Giác Munafie, Quần Sịp Nam Co Giãn 4 Chiều Mỗi Chiếc 1 Túi Zip Sang trọng"
63,11035567,relevancy,1,,100011,False,[9 MÀU] Tất Vớ Cổ Ngắn Nhiều Màu Chống Hôi Chân - Vani Store [TAT00042]
64,11035567,relevancy,1,,100011,False,"Quần Đùi Nam 5S (4 màu) Vải Gió Mềm, Không Bai Xù, Siêu Nhẹ, Dáng Thể Thao (QSG22002)"
65,11035567,relevancy,1,,100011,False,Quần Jogger Nỉ Thêu SPUN Ulzzang (Ánh Thật)
