,catid,parent_catid,name,display_name,level
279,11036634,11036624,Toilet Paper,"Giấy vệ sinh, khăn giấy",2
280,11036639,11036624,Household Cleaning,Vệ sinh nhà cửa,2
281,11036647,11036624,Dishwashing,Vệ sinh bát đĩa,2
282,11036649,11036624,Cleaning Tools,Dụng cụ vệ sinh,2
283,11036654,11036624,Air Fresheners,"Chất khử mùi, làm thơm",2
284,11036660,11036624,Insect Killer,Thuốc diệt côn trùng,2
285,11036664,11036624,Food preservation,"Túi, màng bọc thực phẩm",2
286,11036668,11036624,Trash Bags,"Bao bì, túi đựng rác",2
287,11036478,0,Pets,Chăm Sóc Thú Cưng,1
288,11036479,11036478,Pet Food,Thức ăn cho thú cưng,2
289,11036490,11036478,Pet Accessories,Phụ kiện cho thú cưng,2
290,11036498,11036478,Litter & Toilet,Vệ sinh cho thú cưng,2
291,11036510,11036478,Pet Clothing & Accessories,Quần áo & phụ kiện,2
292,11036519,11036478,Pet Healthcare,Chăm sóc sức khỏe,2
293,11036524,11036478,Others,Khác,2
294,11035898,0,"Tickets, Vouchers & Services",Voucher & Dịch Vụ,1
295,11035905,11035898,F&B,Nhà hàng & Ăn uống,2
296,11035899,11035898,Events & Attractions,Sự kiện & Giải trí,2
297,11035931,11035898,Telco,Nạp tiền tài khoản,2
298,11035922,11035898,Beauty & Wellness,Sức khỏe & Làm đẹp,2
299,11035929,11035898,Transport,Gọi xe,2
300,11035930,11035898,Lessons & Workshops,Khóa học,2
301,11035936,11035898,Travel,Du lịch & Khách sạn,2
302,11035909,11035898,Shopping,Mua sắm,2
303,11035949,11035898,Shopee,Mã quà tặng Shopee,2
304,11035913,11035898,Utilities,Thanh toán hóa đơn,2
305,11035914,11035898,Services,Dịch vụ khác,2
